dart0, 443.0000,  19.0000, 152.0000, 166.0000
dart1, 165.0000, 103.0000, 258.0000, 242.0000
dart2, 89.0000, 86.0000, 114.0000, 108.0000
dart3, 311.0000, 141.0000, 89.0000, 87.0000
dart4, 158.0000, 74.0000, 255.0000, 251.0000
dart5, 416.0000, 123.0000, 143.0000, 145.0000
dart6, 201.0000, 108.0000, 84.0000, 78.0000
dart7, 229.0000, 160.0000, 181.0000, 172.0000
dart8, 58.0000, 245.0000, 82.0000, 100.0000
dart8, 831.0000, 209.0000, 140.0000, 143.0000
dart9, 161.0000, 23.0000, 300.0000, 281.0000
dart10, 81.0000, 91.0000, 113.0000, 128.0000
dart10, 576.0000, 120.0000, 73.0000, 94.0000
dart10, 912.0000, 147.0000, 41.0000, 67.0000
dart11, 164.0000, 100.0000, 72.0000, 92.0000
dart12, 152.0000, 57.0000, 72.0000, 172.0000
dart13, 253.0000, 105.0000, 163.0000, 152.0000
dart14, 101.0000, 89.0000, 163.0000, 148.0000
dart14, 968.0000, 84.0000, 157.0000, 150.0000
dart15, 158.0000, 62.0000, 125.0000, 120.0000
